,Ax,Ay,Az,Sensor Index
7539,10,3,-11,3
7540,22,14,-4,0
7541,12,-3,3,1
7542,5,-12,8,2
7543,-1,-8,0,3
7544,-1,-9,103,0
7545,-167,-15,75,1
7546,41,-84,80,2
7547,-25,195,48,3
7548,142,-81,427,0
7549,-23,-159,39,1
7550,17,59,-135,2
7551,70,123,204,3
7552,22,-21,-124,0
7553,60,-99,63,1
7554,17,-12,140,2
7555,-25,39,108,3
7556,58,-21,55,0
7557,96,8,-56,1
7558,-42,-12,-39,2
7559,-13,-8,-131,3
7560,-25,14,-16,0
7561,36,-15,-104,1
7562,-6,-24,68,2
7563,-1,-20,-83,3
7564,-1,-21,19,0
7565,-23,-3,-68,1
7566,-6,-36,-63,2
7567,10,27,-23,3
7568,-13,2,7,0
7569,0,-3,-44,1
7570,-6,-12,-123,2
7571,-1,-8,12,3
7572,-25,26,55,0
7573,-11,8,27,1
7574,-6,-24,-3,2
7575,10,27,0,3
7576,10,14,7,0
7577,0,20,-20,1
7578,-6,11,-3,2
7579,10,-8,-23,3
7580,-25,2,-16,0
7581,0,8,-20,1
7582,5,-12,-3,2
7583,-1,3,12,3
7584,-1,14,-16,0
7585,0,-3,3,1
7586,-6,11,-3,2
7587,-1,15,0,3
7588,10,2,7,0
7589,12,-3,3,1
7590,-6,-12,-3,2
7591,-25,15,0,3
7592,10,-21,7,0
7593,192,20,15,1
7594,5,0,-3,2
7595,-37,-8,0,3
7596,-25,2,7,0
7597,12,8,-44,1
7598,5,-180,8,2
7599,-1,-20,12,3
7600,10,-9,-4,0
7601,24,8,-8,1
7602,5,0,-3,2
7603,-1,15,12,3
7604,22,-21,-16,0
7605,12,8,27,1
7606,5,0,8,2
7607,22,-20,36,3
7608,-1,2,-4,0
7609,12,-3,-20,1
7610,-6,11,20,2
7611,-1,3,12,3
7612,-1,-9,-16,0
7613,0,-3,-32,1
7614,-6,-12,-3,2
7615,22,-8,0,3
7616,-37,-21,-4,0
7617,0,-3,-20,1
7618,-6,-12,8,2
7619,-37,-8,12,3
7620,-193,26,-4,0
7621,-11,-3,3,1
7622,-6,-12,8,2
7623,-13,-32,0,3
7624,-13,2,-4,0
7625,-11,-3,-56,1
7626,-6,-12,20,2
7627,-25,-20,-11,3
7628,10,2,-4,0
7629,0,-3,-8,1
7630,17,0,-3,2
7631,22,-8,0,3
7632,-1,14,7,0
7633,0,-3,-20,1
7634,-6,-12,8,2
7635,10,-8,0,3
7636,-13,2,-16,0
7637,0,-3,15,1
7638,5,191,-15,2
7639,-25,-8,12,3
7640,-13,14,-4,0
7641,-179,8,-8,1
7642,-6,-180,-3,2
7643,22,-8,-23,3
7644,22,-21,-16,0
7645,0,8,15,1
7646,-6,23,-3,2
7647,-13,-8,0,3
7648,-1,2,-16,0
7649,12,-3,3,1
7650,-6,0,-15,2
7651,-13,3,12,3
7652,-1,14,-4,0
7653,12,-3,-44,1
7654,5,-180,20,2
7655,-25,15,0,3
7656,22,2,7,0
7657,0,-3,27,1
7658,-6,11,-3,2
7659,10,3,12,3
7660,-1,14,-4,0
7661,-11,8,-20,1
7662,-6,0,32,2
7663,-1,3,0,3
7664,-1,38,7,0
7665,12,-3,15,1
7666,5,-12,32,2
7667,22,3,12,3
7668,-1,-9,-4,0
7669,12,-3,15,1
7670,5,11,8,2
7671,-13,3,0,3
7672,-13,-9,7,0
7673,-11,-3,3,1
7674,-6,0,-3,2
7675,-1,-20,12,3
7676,-37,2,-4,0
7677,0,8,-20,1
7678,5,11,-3,2
7679,-13,-20,12,3
7680,10,2,-4,0
7681,-23,-15,15,1
7682,17,-24,-3,2
7683,-1,15,0,3
7684,-13,14,-4,0
7685,0,8,-8,1
7686,5,-180,-3,2
7687,-1,15,-11,3
7688,-25,-9,-4,0
7689,-23,-3,39,1
7690,-6,-12,-15,2
7691,34,15,0,3
7692,10,2,-4,0
7693,-179,-3,15,1
7694,5,11,-3,2
7695,10,3,192,3
7696,-13,-9,31,0
7697,0,-15,51,1
7698,41,-48,32,2
7699,-37,15,36,3
7700,130,86,139,0
7701,-11,-75,75,1
7702,-42,23,-27,2
7703,22,39,168,3
7704,-1,50,-112,0
7705,24,8,63,1
7706,-6,35,-111,2
7707,-13,15,60,3
7708,-193,2,43,0
7709,48,-3,27,1
7710,-6,-24,-123,2
7711,-1,-20,-371,3
7712,-37,-21,-16,0
7713,-23,8,-68,1
7714,-18,191,8,2
7715,-13,-20,48,3
7716,10,-45,7,0
7717,-11,-3,-20,1
7718,5,-24,-39,2
7719,-13,3,-35,3
7720,10,-9,-16,0
7721,12,-3,-20,1
7722,5,11,-3,2
7723,-1,15,12,3
7724,-1,-21,-4,0
7725,-179,-3,27,1
7726,-6,-12,-15,2
7727,-13,3,0,3
7728,-25,-9,-16,0
7729,-11,8,15,1
7730,5,-12,8,2
7731,22,-20,0,3
7732,-1,-9,7,0
7733,-11,8,63,1
7734,5,0,20,2
7735,-1,15,0,3
7736,-1,-9,-4,0
7737,-11,-3,-8,1
7738,173,-12,8,2
7739,-37,3,12,3
7740,-13,2,-4,0
7741,-179,-3,15,1
7742,5,23,-3,2
7743,22,-8,-11,3
7744,10,-9,7,0
7745,12,8,3,1
7746,-6,191,20,2
7747,10,-20,12,3
7748,22,2,-4,0
7749,0,8,-8,1
7750,17,191,8,2
7751,-25,3,-11,3
7752,178,-9,19,0
7753,12,-3,-20,1
7754,-6,23,-15,2
7755,22,3,12,3
7756,22,-9,-16,0
7757,0,-3,-20,1
7758,-6,11,-3,2
7759,-13,-8,12,3
7760,34,14,-16,0
7761,-11,8,3,1
7762,-6,0,-3,2
7763,-1,3,-11,3
7764,-37,14,7,0
7765,-179,8,3,1
7766,-18,0,8,2
7767,22,-20,-11,3
7768,-1,206,7,0
7769,0,-3,15,1
7770,5,-12,8,2
7771,10,3,12,3
7772,-1,-9,-4,0
7773,-23,-3,3,1
7774,5,11,20,2
7775,10,15,-11,3
7776,-13,14,-4,0
7777,0,8,27,1
7778,5,0,-15,2
7779,-1,27,192,3
7780,-13,2,-4,0
7781,0,8,3,1
7782,-6,191,-15,2
7783,-25,-8,192,3
7784,-1,2,-4,0
7785,192,8,-8,1
7786,17,-12,8,2
7787,-1,-20,0,3
7788,34,2,-4,0
7789,0,8,3,1
7790,-6,11,-15,2
7791,-13,3,-11,3
7792,-1,-21,-16,0
7793,12,8,-44,1
7794,-30,191,20,2
7795,34,-20,0,3
7796,22,14,19,0
7797,24,8,3,1
7798,5,-180,-3,2
7799,-25,15,12,3
7800,34,-9,-4,0
7801,-11,8,15,1
7802,-6,-12,20,2
7803,34,15,12,3
7804,-1,-9,-4,0
7805,12,-3,-8,1
7806,-6,-12,-3,2
7807,-13,-8,12,3
7808,-1,2,7,0
7809,12,-3,-8,1
7810,-6,-12,8,2
7811,-1,-8,12,3
7812,-13,2,-4,0
7813,-23,-195,27,1
7814,5,11,-15,2
7815,-1,27,-11,3
7816,178,14,-4,0
7817,0,-15,-20,1
7818,-6,-24,-15,2
7819,-1,3,0,3
7820,-25,14,7,0
7821,0,-3,-20,1
7822,-6,0,-3,2
7823,-25,3,12,3
7824,34,-33,19,0
7825,-11,-3,-8,1
7826,5,191,-27,2
7827,-1,27,12,3
7828,22,14,-4,0
7829,12,8,-20,1
7830,-18,11,-15,2
7831,-1,-8,192,3
7832,10,-9,-4,0
7833,192,8,-8,1
7834,-18,-12,8,2
7835,34,-20,0,3
7836,22,-33,-4,0
7837,12,8,-20,1
7838,5,23,20,2
7839,-13,-8,12,3
7840,-25,2,-4,0
7841,0,-15,-20,1
7842,5,11,-3,2
7843,-1,3,12,3
7844,34,-9,-16,0
7845,-11,-3,-20,1
7846,5,11,-15,2
7847,-25,27,0,3
7848,10,-9,31,0
7849,12,-3,15,1
7850,-6,-12,-3,2
7851,-1,-32,12,3
7852,-13,2,-16,0
7853,0,8,-20,1
7854,-6,11,-15,2
7855,-13,3,-23,3
7856,34,14,-4,0
7857,-11,8,3,1
7858,5,-36,-3,2
7859,-25,-8,0,3
7860,-13,-9,-4,0
7861,-47,8,-32,1
7862,-198,0,20,2
7863,10,-8,12,3
7864,10,-33,-16,0
7865,12,-3,27,1
7866,-6,191,20,2
7867,-1,-8,60,3
7868,-49,-69,-208,0
7869,12,8,15,1
7870,-30,59,8,2
7871,-25,-32,36,3
7872,22,-33,-112,0
7873,-95,-3,63,1
7874,41,-36,104,2
7875,-13,-20,-83,3
7876,34,-117,19,0
7877,-59,-3,-56,1
7878,-6,-36,-87,2
7879,-1,39,0,3
7880,10,26,19,0
7881,-47,-3,3,1
7882,-6,23,-51,2
7883,10,-20,0,3
7884,10,26,55,0
7885,24,8,39,1
7886,-6,11,-27,2
7887,10,-20,-35,3
7888,178,26,-4,0
7889,-35,-3,-8,1
7890,5,-24,8,2
7891,10,-8,12,3
7892,22,-45,-4,0
7893,12,8,27,1
7894,-6,-12,8,2
7895,-13,-8,0,3
7896,-13,-9,-4,0
7897,12,20,39,1
7898,-6,-12,-3,2
7899,10,-8,192,3
7900,10,2,-16,0
7901,-11,8,63,1
7902,5,-12,-3,2
7903,-13,15,-47,3
7904,-37,2,-4,0
7905,12,-3,3,1
7906,-18,0,-3,2
7907,10,-32,0,3
7908,166,-9,-16,0
7909,0,8,3,1
7910,-6,11,8,2
7911,-1,-8,12,3
7912,-1,-33,-4,0
7913,-179,20,-20,1
7914,-6,-24,-15,2
7915,-13,27,-23,3
7916,10,-21,-4,0
7917,-11,8,-8,1
7918,-18,-12,-3,2
7919,22,3,24,3
7920,10,2,7,0
7921,0,20,-8,1
7922,-18,11,-3,2
7923,10,3,0,3
7924,10,-9,-4,0
7925,24,8,15,1
7926,-6,-12,-15,2
7927,-25,-20,12,3
7928,10,-21,7,0
7929,24,-3,39,1
7930,-6,-12,8,2
7931,-1,-8,12,3
7932,-13,-21,-4,0
7933,12,-15,-8,1
7934,-6,11,8,2
7935,-13,3,0,3
7936,-25,-21,7,0
7937,0,-3,15,1
7938,-6,11,8,2
7939,-1,-8,12,3
7940,-13,26,-4,0
7941,0,8,27,1
7942,5,191,-3,2
7943,22,3,12,3
7944,22,2,7,0
7945,-11,-3,15,1
7946,-6,191,8,2
7947,-1,15,12,3
7948,-1,14,7,0
7949,-11,8,-8,1
7950,17,0,-3,2
7951,-13,3,12,3
7952,-25,26,7,0
7953,0,8,-8,1
7954,5,0,-15,2
7955,22,3,-11,3
7956,-1,14,7,0
7957,-11,-15,15,1
7958,-6,-12,-15,2
7959,-13,3,-23,3
7960,-13,2,-4,0
7961,-179,-3,15,1
7962,-18,-12,-15,2
7963,-25,3,0,3
7964,10,2,-4,0
7965,12,-3,-8,1
7966,5,0,-15,2
7967,-25,-32,-179,3
7968,10,-21,-16,0
7969,-11,8,-20,1
7970,-6,0,20,2
7971,-13,3,0,3
7972,10,2,19,0
7973,12,-15,3,1
7974,-6,-24,-15,2
7975,10,27,0,3
7976,-13,-9,-4,0
7977,-11,-3,3,1
7978,-6,23,-27,2
7979,22,-8,12,3
7980,10,14,7,0
7981,0,-3,-20,1
7982,-6,0,-15,2
7983,22,15,12,3
7984,-1,-9,-16,0
7985,0,-3,-8,1
7986,-6,11,-15,2
7987,10,3,12,3
7988,22,2,7,0
7989,12,8,-8,1
7990,5,11,-3,2
7991,-13,-20,12,3
7992,-1,-9,19,0
7993,24,8,15,1
7994,5,-36,-3,2
7995,-1,3,12,3
7996,10,-9,-4,0
7997,12,-3,3,1
7998,5,0,-15,2
7999,-25,-8,12,3
8000,10,-9,-4,0
8001,12,32,15,1
8002,-6,191,-15,2
8003,22,-32,-11,3
8004,-1,-9,19,0
8005,12,-3,-8,1
8006,-6,191,-3,2
8007,-13,3,0,3
8008,178,-9,-16,0
8009,0,-3,3,1
8010,5,-24,8,2
8011,-25,-8,0,3
8012,10,-21,-16,0
8013,0,8,-8,1
8014,5,11,-15,2
8015,10,3,192,3
8016,-13,-21,7,0
8017,12,-3,3,1
8018,-18,-12,-3,2
8019,-1,15,12,3
8020,-13,2,7,0
8021,0,-3,3,1
8022,-6,-12,-15,2
8023,-25,15,-11,3
8024,10,2,-4,0
8025,0,8,-8,1
8026,173,11,-3,2
8027,10,15,12,3
8028,-193,2,-4,0
8029,-23,8,-8,1
8030,-6,-36,-3,2
8031,-229,-56,48,3
8032,-37,74,-172,0
8033,48,-3,111,1
8034,-66,59,-183,2
8035,70,15,60,3
8036,46,110,67,0
8037,-83,-3,63,1
8038,29,155,128,2
8039,46,15,12,3
8040,46,-105,175,0
8041,0,-195,87,1
8042,5,0,-147,2
8043,-25,231,144,3
8044,46,-21,-16,0
8045,0,176,63,1
8046,17,0,8,2
8047,22,-8,144,3
8048,10,2,79,0
8049,0,-27,51,1
8050,-6,-12,-15,2
8051,-37,-20,-95,3
8052,10,74,7,0
8053,-11,-3,-8,1
8054,29,-36,44,2
8055,10,3,12,3
8056,-1,-21,19,0
8057,-59,-15,15,1
8058,5,-12,-27,2
8059,-13,3,-119,3
8060,10,2,31,0
8061,-23,8,-20,1
8062,-6,0,-3,2
8063,-1,-8,0,3
8064,-13,-21,-4,0
8065,12,8,-20,1
8066,-18,-12,8,2
8067,-13,-8,12,3
8068,-13,2,19,0
8069,192,-3,15,1
8070,-18,191,20,2
8071,22,-8,-179,3
8072,-25,14,7,0
8073,0,-15,27,1
8074,5,-12,-3,2
8075,10,15,0,3
8076,-13,14,-4,0
8077,12,-15,39,1
8078,5,0,-15,2
8079,22,-8,-11,3
8080,-1,2,-4,0
8081,-11,-195,-20,1
8082,5,11,8,2
8083,-1,3,12,3
8084,-1,-21,-4,0
8085,0,8,39,1
8086,-6,-12,8,2
8087,22,-8,0,3
8088,-13,14,-4,0
8089,-11,8,-8,1
8090,5,0,-15,2
8091,22,-8,-179,3
8092,10,-9,-4,0
8093,12,8,-8,1
8094,173,11,-3,2
8095,22,-8,0,3
8096,-13,26,7,0
8097,0,8,-8,1
8098,-18,-180,20,2
8099,10,-20,0,3
8100,-1,2,-4,0
8101,0,-3,-44,1
8102,-6,179,-3,2
8103,-13,-8,12,3
8104,178,2,19,0
8105,-23,-3,27,1
8106,-6,11,-15,2
8107,-1,-20,192,3
8108,-13,2,7,0
8109,0,-3,-20,1
8110,-6,-12,-3,2
8111,10,3,-11,3
8112,-1,2,7,0
8113,-11,8,-8,1
8114,5,0,-3,2
8115,22,-8,24,3
8116,-13,2,-16,0
8117,-11,8,15,1
8118,-6,0,20,2
8119,-13,-8,0,3
8120,-1,-9,7,0
8121,-35,-15,3,1
8122,5,-180,-3,2
8123,10,-8,12,3
8124,-1,14,7,0
8125,0,-3,-8,1
8126,-18,-12,20,2
8127,-13,3,192,3
8128,-1,-165,-4,0
8129,-11,8,-8,1
8130,-6,11,-15,2
8131,-13,3,12,3
8132,-1,2,-4,0
8133,0,-3,3,1
8134,-6,-24,-27,2
8135,-13,3,0,3
8136,-1,14,7,0
8137,-11,-15,-20,1
8138,-18,11,-27,2
8139,-13,-20,12,3
8140,10,-33,-4,0
8141,12,-3,-8,1
8142,-198,0,-15,2
8143,10,3,-11,3
8144,-1,14,-4,0
8145,0,8,-20,1
8146,-6,11,-27,2
8147,10,3,0,3
8148,10,2,7,0
8149,12,8,-20,1
8150,-6,11,-3,2
8151,34,15,-11,3
8152,10,-9,-4,0
8153,-11,8,-32,1
8154,5,191,-15,2
8155,-1,15,12,3
8156,22,-9,7,0
8157,-11,-3,3,1
8158,173,0,-3,2
8159,-25,-20,0,3
8160,-25,206,-4,0
8161,0,8,-20,1
8162,5,0,20,2
8163,22,3,-23,3
8164,-193,-21,-4,0
8165,-11,8,3,1
8166,5,-24,-3,2
8167,-1,-20,192,3
8168,-1,14,-4,0
8169,-11,-3,-20,1
8170,-18,-12,8,2
8171,10,27,12,3
8172,10,-21,7,0
8173,192,8,51,1
8174,-6,-24,-15,2
8175,-1,15,12,3
8176,10,-33,-4,0
8177,0,-3,-32,1
8178,-6,0,-15,2
8179,22,15,0,3
8180,22,2,-4,0
8181,0,8,3,1
8182,5,-12,-3,2
8183,10,-8,-179,3
8184,-1,2,-4,0
8185,0,8,-8,1
8186,5,191,-15,2
8187,-37,3,0,3
8188,10,-21,-4,0
8189,-179,8,-20,1
8190,5,0,20,2
8191,-1,-8,-11,3
8192,10,-9,-16,0
8193,12,-3,3,1
8194,5,0,-27,2
8195,10,-8,0,3
8196,10,2,7,0
8197,0,176,-32,1
8198,5,-24,8,2
8199,-1,3,192,3
8200,-1,2,19,0
8201,0,-3,3,1
8202,-6,-12,8,2
8203,-1,-20,0,3
8204,10,2,19,0
8205,12,-3,-8,1
8206,-6,-12,-15,2
8207,-1,3,0,3
8208,-13,-21,19,0
8209,12,-3,-92,1
8210,5,-72,-3,2
8211,-145,-104,168,3
8212,-25,-33,-148,0
8213,132,176,219,1
8214,-66,-144,56,2
8215,118,-44,84,3
8216,22,134,-52,0
8217,-155,-99,123,1
8218,41,179,-3,2
8219,22,15,-71,3
8220,-1,-105,199,0
8221,0,8,15,1
8222,-6,-12,-75,2
8223,-61,15,-35,3
8224,-13,-69,-28,0
8225,-179,20,-92,1
8226,-18,59,-3,2
8227,46,-32,-203,3
8228,-1,26,139,0
8229,-59,20,-44,1
8230,-18,11,32,2
8231,10,3,-95,3
8232,-13,-9,-16,0
8233,-23,8,-20,1
8234,173,-24,-51,2
8235,-13,15,12,3
8236,-37,2,7,0
8237,-35,20,-68,1
8238,-6,0,-15,2
8239,-1,15,36,3
8240,178,2,7,0
8241,0,-3,-32,1
8242,5,-12,-15,2
8243,-13,-20,-35,3
8244,-1,38,-16,0
8245,0,-195,-20,1
8246,-6,-12,-15,2
8247,-25,-20,0,3
8248,-1,26,-4,0
8249,12,-3,15,1
8250,-6,11,20,2
8251,10,27,192,3
8252,10,-21,-4,0
8253,12,8,-32,1
8254,5,-12,8,2
8255,10,3,-11,3
8256,10,2,7,0
8257,-11,8,27,1
8258,5,0,8,2
8259,22,3,0,3
8260,-1,-9,19,0
8261,36,-3,15,1
8262,5,11,8,2
8263,22,-8,-23,3
8264,-13,-45,-4,0
8265,12,-3,3,1
8266,-30,0,-15,2
8267,-1,15,192,3
8268,-25,-9,-16,0
8269,12,-15,-32,1
8270,-6,0,8,2
8271,-13,-8,12,3
8272,-13,2,-4,0
8273,0,-3,27,1
8274,5,-12,-3,2
8275,22,3,0,3
8276,22,2,19,0
8277,24,8,27,1
8278,-6,0,-3,2
8279,22,-8,0,3
8280,10,14,-4,0
8281,12,8,15,1
8282,5,11,-15,2
8283,10,15,192,3
8284,10,2,-4,0
8285,0,-3,3,1
8286,-6,-180,-3,2
8287,-13,3,12,3
8288,-1,2,7,0
8289,0,8,39,1
8290,-6,-24,-3,2
8291,22,15,0,3
8292,-13,2,7,0
8293,-11,-3,3,1
8294,-6,-12,8,2
8295,10,15,-11,3
8296,22,-9,7,0
8297,12,8,-8,1
8298,5,11,-3,2
8299,-25,-8,0,3
8300,10,-9,7,0
8301,12,8,-32,1
8302,-6,23,-15,2
8303,10,-8,12,3
8304,34,2,-4,0
8305,12,8,-32,1
8306,-18,0,-3,2
8307,-1,27,0,3
8308,-1,2,-16,0
8309,-179,8,-8,1
8310,-6,11,8,2
8311,-1,-8,0,3
8312,-1,26,-4,0
8313,-179,-3,15,1
8314,-6,23,-15,2
8315,22,15,12,3
8316,-1,-9,-4,0
8317,0,-3,-8,1
8318,-6,11,8,2
8319,-1,3,-11,3
8320,-193,-33,7,0
8321,0,8,3,1
8322,5,0,-3,2
8323,22,-32,-11,3
8324,-13,2,7,0
8325,12,-3,-8,1
8326,5,-12,-3,2
8327,22,-8,0,3
8328,-1,2,7,0
8329,192,-3,3,1
8330,-6,11,-15,2
8331,10,-8,12,3
8332,-1,14,-4,0
8333,12,-3,3,1
8334,5,0,-3,2
8335,-1,15,192,3
8336,-25,2,-4,0
8337,0,-3,3,1
8338,-6,-12,-15,2
8339,-13,-8,-11,3
8340,178,14,7,0
8341,12,8,-8,1
8342,5,-12,8,2
8343,-1,3,12,3
8344,22,2,-16,0
8345,0,8,15,1
8346,-6,-24,8,2
8347,22,-20,-11,3
8348,178,14,-4,0
8349,0,8,15,1
8350,-18,0,8,2
8351,22,3,0,3
8352,-25,-9,-16,0
8353,-11,8,15,1
8354,5,0,-3,2
8355,10,-8,-11,3
8356,34,14,7,0
8357,12,8,-20,1
8358,5,0,20,2
8359,-1,3,12,3
8360,10,-33,7,0
8361,12,-3,3,1
8362,5,-24,8,2
8363,-13,15,0,3
8364,22,-9,-4,0
8365,-179,8,267,1
8366,29,-96,-15,2
8367,-13,15,-179,3
8368,34,-93,-196,0
8369,168,188,51,1
8370,53,-84,92,2
8371,-133,-80,96,3
8372,-73,-45,-28,0
8373,96,56,-32,1
8374,-54,11,-39,2
8375,10,-8,-155,3
8376,-37,-21,-100,0
8377,-23,-3,-44,1
8378,17,-36,32,2
8379,-1,-32,-23,3
8380,34,-93,19,0
8381,-11,-3,3,1
8382,-6,-12,-15,2
8383,-13,15,36,3
8384,-25,50,19,0
8385,-11,-3,63,1
8386,-6,179,56,2
8387,22,15,24,3
8388,-13,206,79,0
8389,-59,20,15,1
8390,5,-48,-99,2
8391,-61,-20,-119,3
8392,22,-21,-40,0
8393,36,-3,-20,1
8394,-6,-24,8,2
8395,-37,-8,12,3
8396,10,-21,19,0
8397,-23,8,-32,1
8398,5,-24,8,2
8399,10,3,12,3
8400,10,14,-4,0
8401,0,8,-8,1
8402,-6,0,-3,2
8403,-25,3,-11,3
8404,-25,2,7,0
8405,0,-3,3,1
8406,5,0,8,2
8407,10,-8,-11,3
8408,-25,14,-4,0
8409,0,-3,3,1
8410,5,-24,20,2
8411,-1,-20,0,3
8412,-25,2,19,0
8413,0,-3,3,1
8414,-6,-24,8,2
8415,10,-8,12,3
8416,-1,-21,7,0
8417,-11,8,39,1
8418,5,23,20,2
8419,22,3,0,3
8420,-25,14,-4,0
8421,12,-3,15,1
8422,-6,0,8,2
8423,-13,-8,12,3
8424,-1,2,7,0
8425,12,-3,15,1
8426,-6,0,-15,2
8427,10,15,-11,3
8428,10,2,-4,0
8429,12,8,-20,1
8430,5,0,20,2
8431,-13,15,12,3
8432,22,-21,-4,0
8433,-11,8,-8,1
8434,5,-12,8,2
8435,10,39,0,3
8436,-1,2,19,0
8437,12,-3,27,1
8438,-198,-24,-3,2
8439,10,-20,192,3
8440,22,14,-4,0
8441,-35,8,39,1
8442,-6,0,20,2
8443,-1,-20,12,3
8444,-193,2,-4,0
8445,-23,8,15,1
8446,-30,191,8,2
8447,22,-56,12,3
8448,10,-9,-4,0
8449,-11,176,15,1
8450,-6,-12,-3,2
8451,-13,27,-23,3
8452,-1,-21,-4,0
8453,0,-3,3,1
8454,-198,-24,-3,2
8455,-13,3,12,3
8456,-1,2,-4,0
8457,12,8,15,1
8458,5,11,8,2
8459,10,15,12,3
8460,-1,-9,-4,0
8461,24,-3,27,1
8462,17,-12,-27,2
8463,-13,3,-11,3
8464,-13,26,-16,0
8465,12,-3,-8,1
8466,-30,0,-15,2
8467,10,3,0,3
8468,10,2,7,0
8469,-11,-3,15,1
8470,-6,0,8,2
8471,10,3,-11,3
8472,-193,2,7,0
8473,-11,176,-32,1
8474,-6,11,8,2
8475,-13,-32,-11,3
8476,-37,14,7,0
8477,12,20,-20,1
8478,5,-12,-3,2
8479,-1,-20,-179,3
8480,-1,14,-4,0
8481,0,-3,-20,1
8482,5,-12,-3,2
8483,-25,15,0,3
8484,-1,-9,7,0
8485,0,-3,3,1
8486,5,0,32,2
8487,-1,3,0,3
8488,22,2,-4,0
8489,-11,8,3,1
8490,-6,11,-15,2
8491,22,15,-11,3
8492,10,14,-4,0
8493,-179,-3,15,1
8494,-6,-12,-15,2
8495,-13,-20,-11,3
8496,-25,-21,-4,0
8497,-11,8,3,1
8498,-6,0,-3,2
8499,10,3,0,3
8500,10,-21,-4,0
8501,0,-15,27,1
8502,5,-12,-3,2
8503,10,-8,0,3
8504,10,2,-16,0
8505,0,8,3,1
8506,5,-24,-3,2
8507,22,15,12,3
8508,-193,14,-40,0
8509,0,-3,-20,1
8510,5,-24,-3,2
8511,10,-8,-179,3
8512,10,-33,-4,0
8513,-179,-3,-20,1
8514,-6,0,-15,2
8515,10,3,-179,3
8516,10,14,7,0
8517,12,-15,15,1
8518,173,0,-3,2
8519,10,-8,12,3
8520,22,2,-16,0
8521,0,-3,-32,1
8522,5,-12,-3,2
8523,10,15,0,3
8524,-13,-9,7,0
8525,0,20,-32,1
8526,-6,23,8,2
8527,22,-8,0,3
8528,10,-9,-4,0
8529,-11,-3,-8,1
8530,-6,0,-3,2
8531,-1,-8,0,3
8532,-25,-9,-4,0
8533,0,20,-8,1
8534,173,0,-15,2
8535,10,3,12,3
8536,-1,2,-4,0
8537,-11,8,3,1
8538,-6,179,-3,2
8539,10,3,12,3
8540,-13,2,-4,0
8541,-11,8,3,1
8542,5,0,8,2
8543,-13,3,-179,3
8544,-1,-165,-16,0
8545,192,-3,-8,1
8546,5,-12,-3,2
8547,-13,3,-11,3
8548,22,14,-4,0
8549,-11,-3,3,1
8550,-6,23,8,2
8551,-1,3,12,3
8552,-1,-9,-4,0
8553,-23,-3,-20,1
8554,-6,-12,-15,2
8555,-25,3,-11,3
8556,154,-237,187,0
8557,132,176,147,1
8558,-90,35,140,2
8559,58,27,216,3
8560,-13,-9,175,0
8561,-35,-51,15,1
8562,17,0,-15,2
8563,-37,27,-83,3
8564,70,-81,31,0
8565,48,8,-80,1
8566,-6,-24,44,2
8567,-49,-8,36,3
8568,-13,-21,-16,0
8569,0,8,-32,1
8570,-6,11,-27,2
8571,-1,3,-35,3
8572,10,26,-16,0
8573,36,-87,-188,1
8574,17,-24,-123,2
8575,-241,-8,96,3
8576,22,62,-4,0
8577,12,-3,39,1
8578,-6,191,-15,2
8579,22,-20,-131,3
8580,-37,-153,-28,0
8581,-23,-3,-44,1
8582,17,-24,20,2
8583,-37,3,0,3
8584,178,-21,-4,0
8585,24,8,-44,1
8586,-198,-36,-3,2
8587,-1,-8,-11,3
8588,10,14,-16,0
8589,12,-3,-20,1
8590,-6,0,-15,2
8591,-13,-32,0,3
8592,-37,14,7,0
8593,0,-3,-32,1
8594,5,-12,8,2
8595,-13,3,0,3
8596,10,2,-16,0
8597,0,-3,-8,1
8598,5,0,20,2
8599,-13,-8,0,3
8600,-25,-165,-4,0
8601,0,8,63,1
8602,-6,11,8,2
8603,-1,39,12,3
8604,22,-21,7,0
8605,12,-3,27,1
8606,-6,-12,-3,2
8607,10,-8,-179,3
8608,-1,-21,-16,0
8609,24,-3,-8,1
8610,17,23,-3,2
8611,22,-8,0,3
8612,34,14,-4,0
8613,12,8,-32,1
8614,-18,0,-3,2
8615,10,15,-11,3
8616,-1,-9,-28,0
8617,24,8,3,1
8618,5,-12,-3,2
8619,22,-20,12,3
8620,-13,-9,7,0
8621,0,8,3,1
8622,5,-12,-15,2
8623,-1,3,-11,3
8624,34,2,-16,0
8625,0,-3,15,1
8626,-6,0,-15,2
8627,-13,3,192,3
8628,-1,2,-4,0
8629,-11,-3,-20,1
8630,5,0,-3,2
8631,-1,-20,12,3
8632,-1,14,-4,0
8633,0,-3,27,1
8634,-6,11,8,2
8635,-25,3,0,3
8636,-1,14,-4,0
8637,-23,-3,15,1
8638,5,-24,-15,2
8639,-1,15,12,3
8640,-25,14,-4,0
8641,0,8,-32,1
8642,-6,-12,-15,2
8643,-13,-8,-179,3
8644,-13,2,-16,0
8645,0,8,27,1
8646,-6,11,20,2
8647,-25,15,0,3
8648,22,2,-4,0
8649,-179,8,15,1
8650,-18,0,-3,2
8651,-1,3,0,3
8652,10,-9,-4,0
8653,12,8,-20,1
8654,-6,0,-3,2
8655,10,-8,-11,3
8656,-37,-9,-4,0
8657,24,-3,-20,1
