,Ax,Ay,Az,Sensor Index
277,12,-3,39,1
278,-6,0,-15,2
279,-13,3,0,3
280,178,-9,7,0
281,-11,8,3,1
282,5,11,8,2
283,10,15,0,3
284,10,-9,-4,0
285,-11,8,3,1
286,-6,-12,-3,2
287,-25,3,0,3
288,10,2,7,0
289,-11,-3,-20,1
290,5,11,-15,2
291,-13,-44,12,3
292,10,-21,-4,0
293,0,-3,-20,1
294,5,0,-3,2
295,10,3,-11,3
296,-1,-9,-16,0
297,0,-171,27,1
298,-6,11,-3,2
299,-1,15,0,3
300,-13,-9,31,0
301,0,8,15,1
302,-6,0,-15,2
303,-1,3,-11,3
304,10,14,-16,0
305,-11,8,-8,1
306,5,191,-3,2
307,-13,-20,0,3
308,166,-9,19,0
309,-11,-15,-8,1
310,-6,-24,-15,2
311,10,3,-35,3
312,10,-9,-4,0
313,-179,8,-32,1
314,-6,-12,-15,2
315,-1,3,-11,3
316,154,2,19,0
317,12,-3,-8,1
318,5,-12,20,2
319,10,3,-11,3
320,-13,2,-16,0
321,0,8,-8,1
322,17,11,-3,2
323,10,39,-23,3
324,10,-9,7,0
325,-179,8,-20,1
326,-6,0,8,2
327,-37,27,12,3
328,-1,-21,-4,0
329,-23,8,-8,1
330,5,0,8,2
331,10,15,12,3
332,10,2,-16,0
333,0,-3,-20,1
334,-6,0,-15,2
335,-13,-20,12,3
336,-25,14,7,0
337,-11,-3,3,1
338,5,-24,-3,2
339,-13,-8,192,3
340,-1,2,7,0
341,12,8,15,1
342,-198,11,-15,2
343,-13,-8,0,3
344,10,2,-4,0
345,12,-3,3,1
346,-6,-12,8,2
347,10,3,0,3
348,22,-9,-4,0
349,0,-3,-8,1
350,5,0,20,2
351,-1,15,-11,3
352,-49,14,-4,0
353,-23,-3,15,1
354,-6,0,-3,2
355,10,15,192,3
356,22,-21,-4,0
357,12,8,15,1
358,-6,-36,-3,2
359,10,27,0,3
360,22,-21,7,0
361,-179,8,-32,1
362,-6,23,-3,2
363,-1,-8,-11,3
364,-25,-9,-4,0
365,192,-3,-32,1
366,-6,-180,-15,2
367,-13,-8,0,3
368,34,-9,-4,0
369,0,-3,-20,1
370,-18,23,-3,2
371,-1,3,-11,3
372,178,2,7,0
373,12,20,3,1
374,-6,11,-3,2
375,22,-8,-179,3
376,-1,-21,7,0
377,0,8,3,1
378,5,-36,8,2
379,22,27,0,3
380,10,2,-16,0
381,0,8,3,1
382,-18,11,8,2
383,-37,-20,0,3
384,22,-9,7,0
385,-11,8,3,1
386,-18,11,-3,2
387,22,3,-11,3
388,-13,2,7,0
389,-179,-3,27,1
390,-6,11,-3,2
391,10,15,0,3
392,-13,2,7,0
393,0,-3,3,1
394,-6,-12,32,2
395,10,15,0,3
396,22,2,7,0
397,-11,-3,3,1
398,5,0,-3,2
399,-13,-8,12,3
400,46,2,43,0
401,24,-3,-20,1
402,-6,11,8,2
403,22,-32,24,3
404,10,-21,-28,0
405,-179,8,-20,1
406,5,23,-27,2
407,22,15,12,3
408,-25,2,19,0
409,12,-3,-20,1
410,-198,11,-3,2
411,-1,-8,0,3
412,-1,26,-16,0
413,12,-3,39,1
414,17,23,-15,2
415,22,-20,192,3
416,-13,-33,19,0
417,0,-3,15,1
418,5,0,-15,2
419,10,3,0,3
420,-13,2,-4,0
421,192,8,-20,1
422,5,-12,8,2
423,10,-8,12,3
424,46,2,-4,0
425,-11,8,51,1
426,5,11,8,2
427,10,15,192,3
428,10,2,-4,0
429,12,8,15,1
430,5,0,-3,2
431,34,3,-23,3
432,-13,2,-4,0
433,-23,-3,39,1
434,-6,-24,8,2
435,-1,3,-11,3
436,10,2,-4,0
437,-11,8,15,1
438,-6,0,-15,2
439,-13,-20,12,3
440,-25,-165,7,0
441,0,-3,3,1
442,-18,-12,-15,2
443,-1,-32,-11,3
444,-13,2,-4,0
445,12,-3,15,1
446,-186,11,-15,2
447,22,-8,-11,3
448,-13,2,-4,0
449,-11,8,27,1
450,-18,-180,20,2
451,10,-8,-179,3
452,-13,14,-4,0
453,12,8,15,1
454,-6,-24,-3,2
455,-13,15,0,3
456,-13,2,-4,0
457,-23,-3,39,1
458,-6,0,32,2
459,-1,-20,0,3
460,-37,-9,-4,0
461,-11,8,-44,1
462,5,-12,8,2
463,22,-8,12,3
464,-1,2,-4,0
465,12,-3,39,1
466,5,0,-3,2
467,10,15,-179,3
468,-1,-9,-16,0
469,0,8,27,1
470,-6,11,20,2
471,-1,3,-11,3
472,-25,14,-28,0
473,0,-3,3,1
474,5,-24,-15,2
475,10,3,-11,3
476,-1,26,7,0
477,12,8,-20,1
478,-6,23,-3,2
479,-37,15,-11,3
480,-1,2,-4,0
481,-23,-3,-8,1
482,-6,-12,8,2
483,-13,3,-179,3
484,-1,2,-4,0
485,0,-3,27,1
486,-186,11,-15,2
487,-1,-8,24,3
488,22,14,-4,0
489,-11,-3,3,1
490,-6,0,-15,2
491,-13,-8,12,3
492,22,26,7,0
493,12,-3,-8,1
494,5,0,-15,2
495,22,3,0,3
496,-13,-9,-4,0
497,-11,-3,-8,1
498,-18,-12,8,2
499,22,3,12,3
500,-13,-21,19,0
501,12,8,51,1
502,17,0,-3,2
503,22,3,12,3
504,10,-9,-16,0
505,0,8,-32,1
506,-6,191,8,2
507,10,3,-11,3
508,-13,14,-4,0
509,0,8,15,1
510,17,-180,8,2
511,10,3,0,3
512,10,-9,-4,0
513,0,8,-20,1
514,-6,11,-15,2
515,-37,-20,-11,3
516,46,-9,-4,0
517,-35,8,27,1
518,-6,0,8,2
519,10,-20,0,3
520,-13,2,-16,0
521,-11,8,3,1
522,5,11,-3,2
523,10,15,-11,3
524,166,-21,7,0
525,0,8,3,1
526,5,11,-3,2
527,-1,-8,0,3
528,-1,-9,-4,0
529,0,-3,3,1
530,173,-12,-3,2
531,-13,3,-11,3
532,-1,14,-16,0
533,24,-3,-32,1
534,5,11,32,2
535,10,-20,0,3
536,-25,-9,-4,0
537,-23,8,27,1
538,5,0,-15,2
539,10,15,12,3
540,10,2,19,0
541,-23,8,3,1
542,-6,11,-3,2
543,10,-20,12,3
544,-25,-9,-4,0
545,0,-3,-20,1
546,-6,11,20,2
547,10,-20,0,3
548,22,2,-4,0
549,-35,-27,3,1
550,17,11,8,2
551,-13,-8,0,3
552,-193,2,7,0
553,12,-3,3,1
554,-18,-12,8,2
555,-25,-20,-11,3
556,10,14,-16,0
557,12,176,3,1
558,-18,0,8,2
559,-1,-20,0,3
560,10,2,7,0
561,12,-3,27,1
562,5,-12,-3,2
563,10,-8,0,3
564,-1,-9,19,0
565,0,8,-8,1
566,17,11,-3,2
567,22,-8,192,3
568,-1,-9,7,0
569,0,8,-32,1
570,5,0,-3,2
571,-1,15,-11,3
572,-1,-9,-4,0
573,0,8,-44,1
574,-18,11,-3,2
575,22,-32,12,3
576,-25,-165,7,0
577,12,8,15,1
578,-6,-12,20,2
579,-1,15,12,3
580,-1,2,-16,0
581,-11,20,-8,1
582,-6,-12,-15,2
583,-13,-8,0,3
584,-13,-9,-4,0
585,0,8,-8,1
